Gene	S1.nr	S1.t1r	S1.t2r	S1.t3r	S2.nr	S2.t1r	S2.t2r	S2.t3r
RN7SL1	17.96066141	18.58526468	18.56135392	13.58194081	18.29049612	0	18.59968417	0
SFTPC	12.0258801	9.804469869	7.005624549	10.55754986	11.5477284	9.206599272	3.819668183	4.726831217
AKR1C1	2.198494154	1.66448284	2.735522177	1.895302621	2.448900951	2.538538164	6.505255801	5.509695842
AKR1C2	1.310340121	1.189033824	2.456806149	1.250961574	2.451540833	2.845991771	7.337354298	6.199672345
SCARNA2	0	0	4.499527024	0	5.59484709	0	5.390254956	5.22881869
KRT14	2.220329955	1.189033824	1.580145484	1.843983844	1.063502942	1.124328135	3.693765712	1.269033146
AKR1B10	0.782408565	0.992768431	1.555816155	0.713695815	1.510961919	1.137503524	5.403949364	5.173127433
SFTPB	10.2834704	8.640172619	8.203641651	9.531049992	9.009744656	8.310930821	3.578938713	6.337889456
SFTPA2	10.60696959	8.452158857	6.88300979	9.558669432	10.23490124	8.453970202	3.725741157	5.986638472
SFTPA1	9.936829304	7.681449265	5.823239844	8.872305503	9.863752652	7.999323578	3.280956314	5.212569339
AKR1C3	2.232660757	1.819668183	1.244887059	2.381283373	3.211012193	3.279471296	7.101818134	6.345005983
KRT15	2.759155834	5.474436043	7.187451054	6.392317423	1.883620816	2.759155834	5.989366114	4.430954271
ALDH3A1	0.895302621	0.948600847	1.815575429	0.855989697	1.438292852	2.12763328	4.857483428	4.639810978
UCHL1	2.097610797	2.757023247	3.589763487	1.929790998	1.835924074	1.618238656	4.232660757	2.776103988
SPRR2A	0.757023247	0.516015147	2.726831217	2.516015147	1.521050737	0.790772038	4.828834649	2.847996907
KRT6B	0.695993813	1.682573297	3.195347598	2.049630768	0.713695815	0.687060688	4.674121633	3.381283373
HLA-DQA1	6.893968869	6.647458426	6.382148453	7.118422024	0.389566812	0.367371066	0.163498732	0.575312331
KRT13	1.5360529	3.926948248	5.370164281	5.454175893	1.963474124	1.007195501	5.578334949	5.747924416
SPRR1B	0.367371066	0.333423734	1.422233001	0.713695815	0.176322773	0.344828497	3.529820947	1.137503524
LGALS7B	0.526068812	2.739848103	3.979110755	2.925999419	0.250961574	0	0.731183242	0.713695815
GPX2	0.871843649	1.163498732	1.929790998	1.111031312	1.555816155	1.485426827	4.831370588	4.632268215
KRT6A	2.786596362	5.148120631	7.66063774	6.236492618	3.875780063	3.403267722	8.200702473	7.610434315
KRT17	2.799087306	6.260402093	7.963011648	5.529196268	3.986410935	4.168321116	8.301404738	7.328315892
SPRR3	0.5360529	1.10433666	3.805292456	2.837943242	0.475084883	0.5360529	3.50589093	1.752748591
HLA-DQB1	5.882887553	5.470862199	5.191009849	6.123086751	0	0.23878686	0.310340121	0.250961574
KRT16	1.555816155	3.993674362	6.24583789	5.132165525	1.63691458	1.269033146	5.876516947	4.044394119
GSTM3	2.244887059	1.475084883	1.89917563	1.761285273	2.572889668	1.056583528	3.240314329	2.538538164
S100A2	2.192194165	5.311793718	7.458283564	5.817367438	3.744161096	3.66106548	7.728668829	7.652916658
KRT5	3.378511623	6.625124342	8.350718231	7.152081989	4.965322548	4.408032466	9.241744865	8.614120869
S100A7	0.333423734	0.378511623	0.887525271	0.807354922	0.739848103	1.427606173	4.698218478	1.201633861
SPRR2D	0.59454855	0.464668267	1.049630768	1.077242999	0.526068812	0.389566812	3.456806149	1.910732662
SPRR1A	0	0	0.739848103	2.895302621	0	0	2.344828497	0.613531653
NAPSA	7.741466986	6.131136719	4.99004722	6.929317595	7.275007047	5.948133578	1.906890596	3.749534268
SPP1	3.060047384	7.407267764	7.913428001	4.154615611	2.797012978	5.229587923	7.905086099	5.967860271
CXCL14	1.948600847	2.025028794	3.198494154	2.384049807	1.641546029	2.15704371	2.731183242	1.761285273
PKP1	0.855989697	2.367371066	4.344828497	3.250961574	1.03562391	1.275007047	4.393690764	3.925999419
HBB	8.044558053	6.179112901	3.801158656	6.593951284	7.764340847	4.899659026	3.288358562	3.627606838
SFTPD	6.454340425	5.522306893	4.459431619	6.287435356	6.62556274	5.870611313	1.739848103	3.09592442
PTHLH	1.084064265	2.867896464	4.168321116	1.438292852	1.304511042	1.310340121	4.884109451	3.152183419
DSG3	0.807354922	2.56315813	4.390254956	3.40053793	0.925999419	0.641546029	3.975446766	3.554588852
UPK1B	0.275007047	1.150559677	2.526068812	1.859969548	1.40053793	0.82374936	3.544732656	3.224966365
SCGB3A2	6.150762744	6.257199243	6.609548139	5.802968651	3.707082992	2.792855352	1.851998837	4.409390936
HBA2	8.033037497	5.700439718	2.861955364	5.972003304	7.793440743	4.659924558	3.125981654	3.524815928
TP63	0.970853654	2.464668267	3.724650272	2.538538164	1.40053793	1.655351829	4.48864354	3.772941338
UGT1A6	0.464668267	1.03562391	2.451540833	1.333423734	0.422233001	0.584962501	2.935459748	2.451540833
NQO1	2.053111336	1.416839742	1.485426827	1.5360529	1.794935663	2.575312331	5.050936965	4.047887329
COL17A1	0.485426827	1.627606838	3.873813198	1.555816155	0.310340121	0.604071324	1.739848103	1.23878686
PI3	0.214124805	0.90303827	3.626439137	1.13093087	0.50589093	0.918386234	3.62058641	1.879705766
DAPL1	0.22650853	2.650764559	3.410069692	1.599317794	0.214124805	0.713695815	2.166715445	1.659924558
