Gene	S1.t1r.	S1.t2r.	S1.t3r.	S2.t1r.	S2.t2r.	S2.t3r.
RN7SL1	1.97096920280127	1.86844839448897	-19.4814985314134	-77.7160151377785	2.03279483152452	-77.7160151377785
SFTPC	-5.86308522330607	-14.1411380055684	-3.63572529376067	-7.63138743120682	-23.5641364011113	-20.8810501212417
AKR1C1	-3.72302348858917	2.32584728635424	-2.41943081991977	1.21334768134041	23.6160378141883	17.9934492381546
AKR1C2	-0.857433545457493	0.713631734438925	-0.780690635103218	1.195923393676	6.76176797511339	5.35191497495183
SCARNA2	-0.707106781186548	0.430241932593055	-0.707106781186548	-0.707106781186548	0.655391878883891	0.614585516678901
KRT14	-0.553646087559871	-0.0755146057060192	0.247026087753976	-0.632748375039473	2.50837249111415	-0.455847432374895
AKR1B10	-0.298771861248499	0.794174486705728	-0.840486858876715	-0.0178228678108387	8.26388434955552	7.81582999153064
SFTPB	-1.11744141520118	-1.60212033313114	-0.128303157422575	-1.48299751566083	-6.7369130054745	-3.67365894387651
SFTPA2	-7.48322320241915	-13.4474818982649	-3.27743073962503	-7.47633836885259	-25.448105226865	-16.8545453446393
SFTPA1	-42.940063035233	-78.9010012143341	-19.8940559108751	-36.7884105953451	-128.100461631921	-90.7189825623608
AKR1C3	-1.30409031677383	-2.13494028647414	-0.492271792972181	0.806064873716497	6.33129286386943	5.23731582378978
KRT15	5.09298058208009	7.85993908322469	6.57559437771211	0.707106781186547	5.92472468723927	3.40748994639713
ALDH3A1	-0.568291992712708	1.68973613025944	-0.80949696635609	2.50248822032274	9.6123603361395	9.04543424176382
UCHL1	4.27071910089781	8.77103355262422	-0.199828935917169	-1.8835274529623	12.2453941469393	4.37383569157914
SPRR2A	-1.15321235739006	2.93900436390408	2.54878418300431	-0.644637827424301	6.82980908048462	3.16328184650133
KRT6B	78.1107628943364	198.966355006668	107.434997162221	-1.42077445162146	317.105664672443	213.820770610923
HLA-DQA1	0.653509477590897	0.595824703685255	0.755908299471663	-0.711932670598843	-0.756259423036474	-0.666721234626256
KRT13	7.2036763935777	11.97886202475	12.2568322199953	-2.45694339254574	12.6676387289548	13.2287613658293
SPRR1B	0.455815463337494	8.51560394953406	3.27073689444413	0.540237942371373	24.1167873483685	6.40792592918767
LGALS7B	12.08723883512	18.4577802375997	13.0441664596153	-1.99719738063962	1.76151600303489	1.67162030776275
GPX2	-0.104067082521159	1.48035466807887	-0.212551175515864	0.56156651249053	7.47979641827543	7.06812303414489
KRT6A	2.35913415321852	5.62142660946805	3.77229377313313	0.0935891896018193	6.32265530878367	5.55624167836102
KRT17	3.4156430705457	5.44361039579382	2.54470850027007	0.923778831519293	5.84666823579857	4.68762834996203
SPRR3	13.8890116587616	76.5403574959308	54.1017340125764	0.707106781186547	69.5954424486791	28.9295688549178
HLA-DQB1	0.608058169697921	0.540783215814065	0.764849337103584	-0.649703743496956	-0.632502736129984	-0.646777009728599
KRT16	41.8048426121828	81.0786041677202	61.6581214317963	-5.70809688408886	74.6382980032168	42.6893057596442
GSTM3	-4.02618000734957	-2.19767355762089	-2.79220057551381	-5.8305872769043	3.58476988980061	0.558997096959269
S100A2	2.13559553991442	4.09156186308432	2.59629428118381	0.631386774030708	4.33794759540302	4.26891922536012
KRT5	2.18637199857595	3.72427310734978	2.65601248279659	0.210433119741714	4.51838280900718	3.95902545065398
S100A7	-0.550216818413246	1.22097127792505	0.942006718947085	3.10026246872246	14.4808405831104	2.31395846550162
SPRR2D	-1.97512394965322	10.1052654699717	10.675501173379	-3.52608631190631	59.8171973529591	27.8883647143052
SPRR1A	NA	Inf	Inf	NA	Inf	Inf
NAPSA	-4.17509362464785	-7.63464954884335	-1.75516829840019	-4.72992267280556	-16.9821659120465	-11.3956375659041
SPP1	24.0800871966107	26.8014751807339	6.59209063218158	12.3717163698349	26.7566246567139	16.3410631299946
CXCL14	1.05911376122922	6.46378592334141	2.71266992122905	1.66713966962824	4.31147503012709	-0.155619382564777
PKP1	11.1916066891579	26.7596160968961	18.1478855579151	2.59170812352002	27.1442960502617	23.4622834088084
HBB	-8.70751079879725	-20.7086837174284	-6.61388465853974	-15.16471964862	-23.296707693804	-21.5845733114104
SFTPD	-8.40525326133953	-17.1840892886518	-2.08566197832085	-5.52842710349618	-39.6465346324932	-28.445999707391
PTHLH	10.7365610426512	19.0790653184234	1.56534591117311	0.744501578652534	23.6710016802123	12.560323099135
DSG3	20.2216406314456	42.0001906395259	30.2030042847237	-2.68350847845759	37.0557778524631	32.039253825977
UPK1B	0.393012658110466	2.12132034230316	1.28437608136497	-0.0176198617124935	3.40125698859411	2.99947518735503
SCGB3A2	0.768704026199572	0.972616419794749	0.505830356634068	-1.23619130076248	-1.78068656151467	-0.300665053888083
HBA2	-13.0609904887086	-29.8150700118837	-11.4580935380769	-19.2026039561716	-28.2566617533935	-25.9025529016933
TP63	4.20946336897579	8.35642368226649	4.45259027871755	1.54577203373344	10.8709435321093	8.51536336028871
UGT1A6	19.7349883041644	66.922365795805	29.6595767342951	4.71607746132986	83.0496287351223	66.922365795805
NQO1	-2.77820965909459	-2.40250894072894	-2.12519358326576	3.56757663426106	17.1283505525215	11.633927385221
COL17A1	9.93274417611047	28.0758435054262	9.35287515081379	1.66542429478655	10.8393413864144	6.79216029757655
PI3	2.63211145569562	15.8326515865626	3.73672497340426	2.70650425521481	15.8042829543224	7.36609631693395
DAPL1	277.555611966544	364.267777899501	157.481056436902	56.3435865853429	222.277509305714	164.402310552311
