gene	R1	R2	R3	N
RN7SL1	18.58526468	18.56135392	13.58194081	17.96066141
SFTPC	9.804469869	7.005624549	10.55754986	12.0258801
AKR1C1	1.66448284	2.735522177	1.895302621	2.198494154
AKR1C2	1.189033824	2.456806149	1.250961574	1.310340121
SCARNA2	0	4.499527024	0	0
KRT14	1.189033824	1.580145484	1.843983844	2.220329955
AKR1B10	0.992768431	1.555816155	0.713695815	0.782408565
SFTPB	8.640172619	8.203641651	9.531049992	10.2834704
SFTPA2	8.452158857	6.88300979	9.558669432	10.60696959
SFTPA1	7.681449265	5.823239844	8.872305503	9.936829304
AKR1C3	1.819668183	1.244887059	2.381283373	2.232660757
KRT15	5.474436043	7.187451054	6.392317423	2.759155834
ALDH3A1	0.948600847	1.815575429	0.855989697	0.895302621
UCHL1	2.757023247	3.589763487	1.929790998	2.097610797
SPRR2A	0.516015147	2.726831217	2.516015147	0.757023247
KRT6B	1.682573297	3.195347598	2.049630768	0.695993813
HLA-DQA1	6.647458426	6.382148453	7.118422024	6.893968869
KRT13	3.926948248	5.370164281	5.454175893	1.5360529
SPRR1B	0.333423734	1.422233001	0.713695815	0.367371066
LGALS7B	2.739848103	3.979110755	2.925999419	0.526068812
GPX2	1.163498732	1.929790998	1.111031312	0.871843649
KRT6A	5.148120631	7.66063774	6.236492618	2.786596362
KRT17	6.260402093	7.963011648	5.529196268	2.799087306
SPRR3	1.10433666	3.805292456	2.837943242	0.5360529
HLA-DQB1	5.470862199	5.191009849	6.123086751	5.882887553
KRT16	3.993674362	6.24583789	5.132165525	1.555816155
GSTM3	1.475084883	1.89917563	1.761285273	2.244887059
S100A2	5.311793718	7.458283564	5.817367438	2.192194165
KRT5	6.625124342	8.350718231	7.152081989	3.378511623
S100A7	0.378511623	0.887525271	0.807354922	0.333423734
SPRR2D	0.464668267	1.049630768	1.077242999	0.59454855
SPRR1A	0	0.739848103	2.895302621	0
NAPSA	6.131136719	4.99004722	6.929317595	7.741466986
SPP1	7.407267764	7.913428001	4.154615611	3.060047384
CXCL14	2.025028794	3.198494154	2.384049807	1.948600847
PKP1	2.367371066	4.344828497	3.250961574	0.855989697
HBB	6.179112901	3.801158656	6.593951284	8.044558053
SFTPD	5.522306893	4.459431619	6.287435356	6.454340425
PTHLH	2.867896464	4.168321116	1.438292852	1.084064265
DSG3	2.56315813	4.390254956	3.40053793	0.807354922
UPK1B	1.150559677	2.526068812	1.859969548	0.275007047
SCGB3A2	6.257199243	6.609548139	5.802968651	6.150762744
HBA2	5.700439718	2.861955364	5.972003304	8.033037497
TP63	2.464668267	3.724650272	2.538538164	0.970853654
UGT1A6	1.03562391	2.451540833	1.333423734	0.464668267
NQO1	1.416839742	1.485426827	1.5360529	2.053111336
COL17A1	1.627606838	3.873813198	1.555816155	0.485426827
PI3	0.90303827	3.626439137	1.13093087	0.214124805
DAPL1	2.650764559	3.410069692	1.599317794	0.22650853
